ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
300750.SZ,宁德时代,新能源汽车,2024-12-09,253.32,254.38,255.99,250.74,224561,6005103478.0,2.08,0.59,1.5,0.58,252.88,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-10,267.61,256.9,267.83,255.66,329044,9035442039.0,4.78,0.99,2.52,0.84,254.38,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-11,260.29,253.43,265.83,252.85,194008,5262014871.0,5.05,-1.35,-3.47,0.5,256.9,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-12,252.23,260.04,261.71,251.53,223295,6055502392.0,4.02,2.61,6.61,0.57,253.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-13,256.21,253.36,258.33,252.33,283164,7596460114.0,2.31,-2.57,-6.68,0.73,260.04,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-16,252.55,253.53,255.83,250.38,162575,4333963457.0,2.15,0.07,0.17,0.42,253.36,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-17,253.33,260.13,264.33,252.87,282146,7746201690.0,4.52,2.6,6.6,0.72,253.53,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-18,260.64,257.74,261.06,256.64,150853,4110472402.0,1.7,-0.92,-2.39,0.39,260.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-19,255.59,256.12,258.68,252.95,153460,4137668599.0,2.22,-0.63,-1.62,0.39,257.74,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-20,256.12,249.04,257.13,246.65,277401,7313368050.0,4.09,-2.76,-7.08,0.71,256.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-23,249.04,249.83,255.21,249.04,206394,5482614221.0,2.48,0.32,0.79,0.53,249.04,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-24,249.33,254.56,254.58,249.33,196154,5229920631.0,2.1,1.89,4.73,0.5,249.83,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-25,255.24,254.3,257.24,252.59,114138,3058526680.0,1.83,-0.1,-0.26,0.29,254.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-26,253.53,247.58,253.53,247.33,224438,5898437344.0,2.44,-2.64,-6.72,0.58,254.3,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-27,246.9,248.33,249.75,241.33,243519,6338085456.0,3.4,0.3,0.75,0.62,247.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-30,247.21,252.91,253.83,246.84,226314,6013633016.0,2.81,1.84,4.58,0.58,248.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2024-12-31,251.42,252.33,256.83,251.42,249340,6694555730.0,2.14,-0.23,-0.58,0.64,252.91,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-02,252.58,245.11,252.63,243.33,233546,6090661831.0,3.69,-2.86,-7.22,0.6,252.33,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
300750.SZ,宁德时代,新能源汽车,2025-01-03,245.11,243.96,249.33,243.54,185238,4812148522.0,2.36,-0.47,-1.15,0.47,245.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
