ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor
600519.SH,贵州茅台,食品饮料,2025-07-15,1369.0,1359.02,1370.95,1356.34,35406,5005150165.0,1.07,-0.92,-12.6,0.28,1371.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-16,1358.03,1359.05,1365.51,1357.97,21286,3006882579.0,0.55,0.0,0.03,0.17,1359.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-17,1362.0,1364.37,1371.03,1360.9,23106,3273100406.0,0.75,0.39,5.32,0.18,1359.05,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-18,1368.02,1385.02,1385.83,1364.4,41823,5984949774.0,1.57,1.51,20.65,0.33,1364.37,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-21,1385.01,1391.02,1394.82,1383.02,26203,3779891829.0,0.85,0.43,6.0,0.21,1385.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-22,1392.02,1413.0,1414.62,1388.7,42119,6127636851.0,1.86,1.58,21.98,0.34,1391.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-23,1417.02,1423.52,1443.02,1416.97,45045,6676301462.0,1.84,0.74,10.52,0.36,1413.0,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-24,1424.02,1439.52,1447.02,1423.02,38804,5786337377.0,1.69,1.12,16.0,0.31,1423.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-25,1439.42,1403.02,1439.42,1401.02,41911,6140078741.0,2.67,-2.54,-36.5,0.33,1439.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-28,1401.02,1386.68,1403.01,1384.32,38586,5560966386.0,1.33,-1.16,-16.34,0.31,1403.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-29,1387.62,1387.02,1396.81,1383.03,26304,3785848102.0,0.99,0.02,0.34,0.21,1386.68,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-30,1392.02,1397.46,1405.18,1385.02,31868,4612883040.0,1.45,0.75,10.44,0.25,1387.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-07-31,1391.02,1369.69,1392.89,1366.02,51798,7386302758.0,1.92,-1.99,-27.77,0.41,1397.46,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-01,1369.89,1365.02,1373.98,1362.02,29636,4200850790.0,0.87,-0.34,-4.67,0.24,1369.69,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-04,1363.02,1367.02,1367.82,1362.02,18688,2647105740.0,0.42,0.15,2.0,0.15,1365.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-05,1369.02,1375.76,1377.96,1365.13,25342,3607931488.0,0.94,0.64,8.74,0.2,1367.02,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-06,1377.02,1371.9,1377.02,1367.32,23699,3372334940.0,0.71,-0.28,-3.86,0.19,1375.76,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-07,1371.9,1370.37,1375.72,1368.08,28001,3988765795.0,0.56,-0.11,-1.53,0.22,1371.9,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
600519.SH,贵州茅台,食品饮料,2025-08-08,1371.07,1368.99,1374.52,1366.02,18655,2651478118.0,0.62,-0.1,-1.38,0.15,1370.37,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,
