ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
000858.SZ,五粮液,食品饮料,2020-05-27,123.24,121.58,123.82,121.1,145963,2143082944.0,2.21,-1.34,-1.65,0.38,123.23,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,122.806,121.91799999999999,1,HOLD,1,HOLD,-0.013389596689117989,-0.013389596689117989,0.0,0.0,-0.013389596689117989,274979.2384277127,513863.0600169073,-0.15065644549187396,5,15
000858.SZ,五粮液,食品饮料,2020-05-28,121.57,121.58,123.44,119.92,148184,2166223152.0,2.9,0.0,0.0,0.39,121.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,121.702,122.20133333333334,0,SELL,1,HOLD,0.0,0.0,0.0,0.0,0.0,274979.2384277127,513863.0600169073,-0.15065644549187396,5,15
000858.SZ,五粮液,食品饮料,2020-05-29,120.42,123.62,124.01,120.25,163217,2408655792.0,3.09,1.68,2.04,0.43,121.58,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,122.492,122.55466666666668,0,HOLD,0,SELL,0.016779075505839902,0.0,1.0,0.001,-0.001,274704.25918928505,522485.20710059296,-0.1515057890463819,5,15
000858.SZ,五粮液,食品饮料,2020-06-01,125.48,134.01,135.6,125.48,357844,5624344576.0,8.19,8.4,10.39,0.94,123.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,124.804,123.67066666666668,1,BUY,0,HOLD,0.08404788869115021,0.0,0.0,0.0,0.0,274704.25918928505,566398.9856297561,-0.1515057890463819,5,15
000858.SZ,五粮液,食品饮料,2020-06-02,133.81,134.19,139.07,133.44,291586,4669324800.0,4.2,0.13,0.18,0.77,134.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,126.99600000000001,124.72866666666665,1,HOLD,1,BUY,0.001343183344526544,0.001343183344526544,1.0,0.001,0.00034318334452654396,274798.5331157093,567159.7633136108,-0.15121459996525544,5,15
000858.SZ,五粮液,食品饮料,2020-06-03,136.28,133.66,137.18,132.1,252759,4004118592.0,3.79,-0.39,-0.53,0.67,134.19,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,129.41199999999998,125.54466666666667,1,HOLD,1,HOLD,-0.0039496236679334995,-0.0039496236679334995,0.0,0.0,-0.0039496236679334995,273713.1823254021,564919.6956889278,-0.15456698287022907,5,15
000858.SZ,五粮液,食品饮料,2020-06-04,133.45,134.27,135.4,132.42,136318,2166142880.0,2.23,0.46,0.61,0.36,133.66,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,131.95,126.38133333333333,1,HOLD,1,HOLD,0.004563818644321538,0.004563818644321538,0.0,0.0,0.004563818644321538,274962.35965009534,567497.8867286574,-0.15070857990412723,5,15
000858.SZ,五粮液,食品饮料,2020-06-05,134.53,135.51,136.1,133.02,159859,2547709184.0,2.29,0.92,1.24,0.42,134.27,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,134.32800000000003,127.37266666666666,1,HOLD,1,HOLD,0.009235123259104583,0.009235123259104583,0.0,0.0,0.009235123259104583,277501.6709330783,572738.7996618779,-0.14286526895664176,5,15
000858.SZ,五粮液,食品饮料,2020-06-08,134.92,136.03,140.37,134.72,222551,3596734096.0,4.17,0.38,0.52,0.59,135.51,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,134.73200000000003,128.00066666666666,1,HOLD,1,HOLD,0.0038373551767398872,0.0038373551767398872,0.0,0.0,0.0038373551767398872,278566.54340658727,574936.6018596801,-0.13957613855930895,5,15
000858.SZ,五粮液,食品饮料,2020-06-09,136.0,138.03,138.42,134.43,161119,2610701056.0,2.93,1.47,2.0,0.42,136.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,135.5,128.74666666666664,1,HOLD,1,HOLD,0.014702639123722605,0.014702639123722605,0.0,0.0,0.014702639123722605,282662.20676623716,583389.6872358423,-0.1269256370311065,5,15
000858.SZ,五粮液,食品饮料,2020-06-10,138.07,137.96,139.2,136.5,149481,2428166144.0,1.96,-0.05,-0.07,0.39,138.03,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,136.36,129.52599999999998,1,HOLD,1,HOLD,-0.0005071361298267796,-0.0005071361298267796,0.0,0.0,-0.0005071361298267796,282518.8585486494,583093.8292476768,-0.12736840458459364,5,15
000858.SZ,五粮液,食品饮料,2020-06-11,137.22,135.49,138.16,133.37,199461,3195703168.0,3.47,-1.79,-2.47,0.53,137.96,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,136.60399999999998,130.08533333333332,1,HOLD,1,HOLD,-0.017903740214554986,-0.017903740214554986,0.0,0.0,-0.017903740214554986,277460.71429948177,572654.2688081163,-0.14299177397192375,5,15
000858.SZ,五粮液,食品饮料,2020-06-12,132.42,136.92,137.3,131.52,176476,2822869424.0,4.27,1.06,1.43,0.46,135.49,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,136.886,131.23533333333333,1,HOLD,1,HOLD,0.010554284449036722,0.010554284449036722,0.0,0.0,0.010554284449036722,280389.1136016314,578698.2248520723,-0.13394666537925903,5,15
000858.SZ,五粮液,食品饮料,2020-06-15,134.42,132.42,136.3,131.92,266220,4206860400.0,3.2,-3.29,-4.5,0.7,136.92,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,136.164,131.9,1,HOLD,1,HOLD,-0.03286590709903592,-0.03286590709903592,0.0,0.0,-0.03286590709903592,271173.87104241917,559678.782755707,-0.16241029381771466,5,15
000858.SZ,五粮液,食品饮料,2020-06-16,132.52,133.1,134.68,131.82,259847,4095546272.0,2.16,0.51,0.68,0.68,132.42,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,135.178,132.558,1,HOLD,1,HOLD,0.00513517595529378,0.00513517595529378,0.0,0.0,0.00513517595529378,272566.39658470015,562552.8317836022,-0.15810912329812565,5,15
000858.SZ,五粮液,食品饮料,2020-06-17,132.68,131.3,132.92,129.32,232423,3610097408.0,2.7,-1.35,-1.8,0.61,133.1,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,133.846,133.206,1,HOLD,1,HOLD,-0.013523666416228264,-0.013523666416228264,0.0,0.0,-0.013523666416228264,268880.2995610153,554945.0549450562,-0.16949457467350781,5,15
000858.SZ,五粮液,食品饮料,2020-06-18,132.02,133.78,134.0,131.38,199490,3145346592.0,2.0,1.89,2.48,0.53,131.3,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,133.504,134.01933333333332,0,SELL,1,HOLD,0.018888042650418768,0.018888042650418768,0.0,0.0,0.018888042650418768,273958.92212698114,565426.8808114975,-0.15380795277853676,5,15
000858.SZ,五粮液,食品饮料,2020-06-19,133.92,140.99,141.92,133.85,387028,6342808576.0,6.03,5.39,7.21,1.02,133.78,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,134.318,135.17733333333334,0,HOLD,0,SELL,0.053894453580505264,0.0,1.0,0.001,-0.001,273684.96320485417,595900.2535925626,-0.15465414482575823,5,15
000858.SZ,五粮液,食品饮料,2020-06-22,141.62,140.62,141.62,138.62,216312,3513415728.0,2.13,-0.26,-0.37,0.57,140.99,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,135.95800000000003,135.618,1,BUY,0,HOLD,-0.002624299595716084,-0.0,0.0,0.0,-0.0,273684.96320485417,594336.4327979726,-0.15465414482575823,5,15
000858.SZ,五粮液,食品饮料,2020-06-23,140.62,145.6,146.02,139.7,265325,4413501440.0,4.49,3.54,4.98,0.7,140.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,138.458,136.37866666666667,1,HOLD,1,BUY,0.035414592518844934,0.035414592518844934,1.0,0.001,0.03441459251884493,283103.71969208436,615384.6153846167,-0.12556191168244202,5,15
000858.SZ,五粮液,食品饮料,2020-06-24,146.03,146.23,148.92,144.62,187986,3172425488.0,2.95,0.43,0.63,0.5,145.6,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,141.44400000000002,137.21666666666667,1,HOLD,1,HOLD,0.0043269230769229505,0.0043269230769229505,0.0,0.0,0.0043269230769229505,284328.68770998274,618047.3372781078,-0.12177828533876045,5,15
000858.SZ,五粮液,食品饮料,2020-06-29,144.23,145.12,146.12,143.42,199936,3331811632.0,1.85,-0.76,-1.11,0.53,146.23,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,143.712,137.94,1,HOLD,1,HOLD,-0.007590781645353095,-0.007590781645353095,0.0,0.0,-0.007590781645353095,282170.4107260665,613355.8748943377,-0.12844467461096143,5,15
000858.SZ,五粮液,食品饮料,2020-06-30,146.16,148.74,149.29,146.12,189898,3238678112.0,2.18,2.49,3.62,0.5,145.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,145.262,138.822,1,HOLD,1,HOLD,0.024944873208379237,0.024944873208379237,0.0,0.0,0.024944873208379237,289209.1158447845,628655.9594251915,-0.1067038375250442,5,15
000858.SZ,五粮液,食品饮料,2020-07-01,148.74,159.6,162.72,148.74,271818,4886748672.0,9.4,7.3,10.86,0.72,148.74,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,149.058,140.39333333333335,1,HOLD,1,HOLD,0.07301331181928195,0.07301331181928195,0.0,0.0,0.07301331181928195,310325.2312009386,674556.2130177529,-0.041481326267292284,5,15
000858.SZ,五粮液,食品饮料,2020-07-02,157.62,167.11,169.96,157.5,348870,6549218048.0,7.81,4.71,7.51,0.92,159.6,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,153.36,142.332,1,HOLD,1,HOLD,0.04705513784461157,0.04705513784461157,0.0,0.0,0.04705513784461157,324927.6277317597,706297.5486052424,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-03,167.61,166.34,168.12,160.12,308159,5745184512.0,4.79,-0.46,-0.77,0.81,167.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,157.382,144.22400000000002,1,HOLD,1,HOLD,-0.004607743402549325,-0.004607743402549325,0.0,0.0,-0.004607743402549325,323430.4445987727,703043.1107354199,-0.004607743402549325,5,15
000858.SZ,五粮液,食品饮料,2020-07-06,166.33,170.44,173.62,163.18,328431,6291466752.0,6.28,2.46,4.1,0.87,166.34,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,162.446,146.554,1,HOLD,1,HOLD,0.024648310688950348,0.024648310688950348,0.0,0.0,0.024648310688950348,331402.45868350856,720371.9357565526,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-07,170.4,179.51,184.0,167.94,384111,7693352448.0,9.42,5.32,9.07,1.01,170.44,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,168.6,149.39333333333335,1,HOLD,1,HOLD,0.05321520769772348,0.05321520769772348,0.0,0.0,0.05321520769772348,349038.1093538877,758706.6779374487,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-08,179.12,180.98,183.42,176.62,292323,5907018240.0,3.79,0.82,1.47,0.77,179.51,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,172.876,152.63066666666666,1,HOLD,1,HOLD,0.008188958832376914,0.008188958832376914,0.0,0.0,0.008188958832376914,351896.3680623173,764919.6956889279,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-09,181.01,181.34,182.98,179.12,295243,5988999424.0,2.13,0.2,0.36,0.78,180.98,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,175.722,155.84666666666666,1,HOLD,1,HOLD,0.001989170074041313,0.001989170074041313,0.0,0.0,0.001989170074041313,352596.3497868307,766441.2510566371,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-10,180.62,184.62,189.42,178.42,335476,6923294720.0,6.07,1.81,3.28,0.88,181.34,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,179.378,159.40133333333333,1,HOLD,1,HOLD,0.018087570309915035,0.018087570309915035,0.0,0.0,0.018087570309915035,358973.9610546194,780304.3110735433,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-13,184.62,195.82,202.62,184.62,488807,10648696832.0,9.75,6.07,11.2,1.29,184.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,184.454,163.53733333333332,1,HOLD,1,HOLD,0.060665150037915616,0.060665150037915616,0.0,0.0,0.060665150037915616,380751.17026170273,827641.5891800522,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-14,195.92,198.52,202.95,189.65,438733,9589876480.0,6.79,1.38,2.7,1.16,195.82,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,188.256,167.37266666666665,1,HOLD,1,HOLD,0.01378817281176592,0.01378817281176592,0.0,0.0,0.01378817281176592,386001.03319555323,839053.2544378713,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-15,196.62,201.57,203.62,195.22,371700,8289624064.0,4.23,1.54,3.05,0.98,198.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,192.374,171.436,1,HOLD,1,HOLD,0.01536369131573645,0.01536369131573645,0.0,0.0,0.01536369131573645,391931.43391712505,851944.2096365187,0.0,5,15
000858.SZ,五粮液,食品饮料,2020-07-16,198.62,179.18,198.67,179.18,705737,14817949952.0,9.67,-11.11,-22.39,1.86,201.57,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,191.942,173.67466666666667,1,HOLD,1,HOLD,-0.11107803740636002,-0.11107803740636002,0.0,0.0,-0.11107803740636002,348396.4594397503,757311.9188503817,-0.11107803740636002,5,15
000858.SZ,五粮液,食品饮料,2020-07-17,172.62,183.01,187.32,172.62,529767,10785869056.0,8.2,2.14,3.83,1.4,179.18,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,191.61999999999998,176.12666666666667,1,HOLD,1,HOLD,0.021375153476950404,0.021375153476950404,0.0,0.0,0.021375153476950404,355843.4872311011,773499.5773457325,-0.09207719402688908,5,15
000858.SZ,五粮液,食品饮料,2020-07-20,183.12,179.3,186.12,168.63,442907,8808311296.0,9.56,-2.03,-3.71,1.17,183.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,188.316,178.40533333333332,1,HOLD,1,HOLD,-0.0202721162777989,-0.0202721162777989,0.0,0.0,-0.0202721162777989,348629.7866812548,757819.1039729514,-0.11048271072084126,5,15
000858.SZ,五粮液,食品饮料,2020-07-21,178.62,183.2,186.52,176.42,317859,6514435840.0,5.63,2.18,3.9,0.84,179.3,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,185.252,180.70266666666666,1,HOLD,1,HOLD,0.02175125488008911,0.02175125488008911,0.0,0.0,0.02175125488008911,356212.92203014984,774302.6204564678,-0.09113459344148445,5,15
000858.SZ,五粮液,食品饮料,2020-07-22,181.87,186.52,190.49,180.37,280663,5873887488.0,5.52,1.81,3.32,0.74,183.2,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,182.24200000000002,182.49733333333333,0,SELL,1,HOLD,0.018122270742358282,0.018122270742358282,0.0,0.0,0.018122270742358282,362668.3090451068,788334.7421808974,-0.07466388847546734,5,15
000858.SZ,五粮液,食品饮料,2020-07-23,184.92,187.69,189.52,183.22,265413,5547862016.0,3.38,0.63,1.17,0.7,186.52,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,183.944,183.86933333333334,1,BUY,0,SELL,0.0062727857602400405,0.0,1.0,0.001,-0.001,362305.6407360617,793279.7971259522,-0.07558922458699202,5,15
000858.SZ,五粮液,食品饮料,2020-07-24,185.62,179.01,186.57,175.62,405386,8233915136.0,5.83,-4.62,-8.68,1.07,187.69,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,183.144,184.714,0,SELL,1,BUY,-0.046246470243486604,-0.046246470243486604,1.0,0.001,-0.047246470243486605,345187.978061978,756593.4065934079,-0.11926437078030094,5,15
000858.SZ,五粮液,食品饮料,2020-07-27,181.01,181.72,184.42,179.03,246347,5038945792.0,3.01,1.51,2.71,0.65,179.01,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,183.628,185.466,0,HOLD,0,SELL,0.015138819060387831,0.0,1.0,0.001,-0.001,344842.790083916,768047.3372781079,-0.12014510640952081,5,15
000858.SZ,五粮液,食品饮料,2020-07-28,183.51,191.62,194.56,182.29,384497,8143034112.0,6.75,5.45,9.9,1.01,181.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,185.312,186.27333333333334,0,HOLD,0,HOLD,0.05447941888619856,0.0,0.0,0.0,0.0,344842.790083916,809890.1098901115,-0.12014510640952081,5,15
000858.SZ,五粮液,食品饮料,2020-07-29,191.97,192.6,193.1,186.63,301364,6417584128.0,3.38,0.51,0.98,0.79,191.62,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,186.528,187.04799999999997,0,HOLD,0,HOLD,0.0051142886963782,0.0,0.0,0.0,0.0,344842.790083916,814032.1217244309,-0.12014510640952081,5,15
000858.SZ,五粮液,食品饮料,2020-07-30,191.62,193.94,195.67,190.62,253226,5483434240.0,2.62,0.7,1.34,0.67,192.6,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,187.778,187.888,0,HOLD,0,HOLD,0.006957424714434168,0.0,0.0,0.0,0.0,344842.790083916,819695.6889264598,-0.12014510640952081,5,15
000858.SZ,五粮液,食品饮料,2020-07-31,194.13,195.12,198.63,191.9,262318,5707639552.0,3.47,0.61,1.18,0.69,193.94,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,191.0,188.588,1,BUY,0,HOLD,0.0060843559863876795,0.0,0.0,0.0,0.0,344842.790083916,824683.0092983957,-0.12014510640952081,5,15
000858.SZ,五粮液,食品饮料,2020-08-03,195.8,195.34,197.55,192.82,201454,4369803264.0,2.42,0.11,0.22,0.53,195.12,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,193.724,188.556,1,HOLD,1,BUY,0.0011275112751127914,0.0011275112751127914,1.0,0.001,0.00012751127511279135,344886.76142779307,825612.8486897737,-0.1200329149901248,5,15
