ts_code,stock_name,industry,parameter,short_window,long_window,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,holding_ratio,total_cost_rate
600519.SH,贵州茅台,食品饮料,MA5/MA10,5,10,样本内,1214,0.22017837816132357,0.042172484871089155,0.26768613539967334,0.2876315676540714,-0.41182871595529047,3.8947044713697165,-3.674526093208393,72,71,0.5551894563426688,0.14300000000000002
600519.SH,贵州茅台,食品饮料,MA5/MA10,5,10,样本外,609,-0.24438643473158328,-0.10948492816495947,0.15953801890372943,-0.6474983821667449,-0.24346755720234248,-0.24294133169144239,-0.0014451030401408937,31,31,0.4351395730706076,0.062
600519.SH,贵州茅台,食品饮料,MA5/MA15,5,15,全样本,1823,0.6079751129631226,0.06786105994918068,0.23721401168722123,0.3947780487212159,-0.47856448777363014,2.705578448859107,-2.0976033358959842,78,77,0.5030170049369171,0.15500000000000003
600519.SH,贵州茅台,食品饮料,MA5/MA15,5,15,样本内,1214,1.3290573947665778,0.19184182744708056,0.2671239644791944,0.7900749032084022,-0.2760588945831185,3.8947044713697165,-2.5656470766031387,53,52,0.542833607907743,0.10500000000000001
600519.SH,贵州茅台,食品饮料,MA5/MA15,5,15,样本外,609,-0.3096026244023592,-0.14213227212027557,0.16106243749355217,-0.8716130331677242,-0.3087630541989602,-0.24294133169144239,-0.06666129271091681,25,25,0.4236453201970443,0.05
600519.SH,贵州茅台,食品饮料,MA10/MA20,10,20,全样本,1823,0.8324407078977234,0.08732555578727763,0.24282108058315569,0.46558465176297475,-0.5842117547947907,2.705578448859107,-1.8731377409613834,52,52,0.5145364783324191,0.104
600519.SH,贵州茅台,食品饮料,MA10/MA20,10,20,样本内,1214,2.420743678166387,0.29083819535925626,0.2803434770306928,1.0503664411839202,-0.27885783001988207,3.8947044713697165,-1.4739607932033296,32,32,0.5494233937397035,0.064
600519.SH,贵州茅台,食品饮料,MA10/MA20,10,20,样本外,609,-0.46431510797091846,-0.22763145524515593,0.13825549548004,-1.7979316512171835,-0.4531109527880949,-0.24294133169144239,-0.22137377627947608,20,20,0.44499178981937604,0.04
600519.SH,贵州茅台,食品饮料,MA10/MA30,10,30,全样本,1823,0.6730771235543678,0.07373580148816328,0.2370879002492375,0.4180525347444811,-0.5307400439731385,2.705578448859107,-2.032501325304739,33,33,0.48656061437191445,0.066
600519.SH,贵州茅台,食品饮料,MA10/MA30,10,30,样本内,1214,1.8880282402206428,0.24626627169361792,0.2727483774399727,0.9430501468114525,-0.3680127402966681,3.8947044713697165,-2.006676231149074,19,19,0.5362438220757826,0.038000000000000006
600519.SH,贵州茅台,食品饮料,MA10/MA30,10,30,样本外,609,-0.4206853311702572,-0.20219699885868403,0.13942011265070592,-1.5496098284576052,-0.4421371040034565,-0.24294133169144239,-0.1777439994788148,14,14,0.38752052545155996,0.028
600519.SH,贵州茅台,食品饮料,MA20/MA60,20,60,全样本,1823,0.6934975135789605,0.07553793355119587,0.2247791951874829,0.4362220841542071,-0.4737982336550801,2.705578448859107,-2.0120809352801463,19,19,0.5090510148107515,0.038000000000000006
600519.SH,贵州茅台,食品饮料,MA20/MA60,20,60,样本内,1214,1.231181960061377,0.18126757910907676,0.258183377658864,0.7743605035612567,-0.4042440457586538,3.8947044713697165,-2.6635225113083396,12,12,0.5617792421746294,0.024
600519.SH,贵州茅台,食品饮料,MA20/MA60,20,60,样本外,609,-0.24098637229373465,-0.10782900620616165,0.1348195039695084,-0.7789967447027737,-0.2638076537658316,-0.24294133169144239,0.001954959397707734,7,7,0.4039408866995074,0.014
000858.SZ,五粮液,食品饮料,MA5/MA10,5,10,全样本,1823,1.4258689786267,0.130320564799687,0.29237554782465386,0.5634802300993684,-0.5166610948312647,2.1145393068470053,-0.6886703282203053,97,97,0.4722984092155787,0.194
000858.SZ,五粮液,食品饮料,MA5/MA10,5,10,样本内,1214,1.979167923445139,0.2543299978146629,0.3284140542029645,0.8525975049116422,-0.5166610948312647,4.381234150464928,-2.402066227019789,65,64,0.5164744645799012,0.129
000858.SZ,五粮液,食品饮料,MA5/MA10,5,10,样本外,609,-0.1857226443880995,-0.08150199587249929,0.2016797194720337,-0.3223400843963992,-0.3003832727963386,-0.421222117499215,0.23549947311111552,32,33,0.3842364532019704,0.065
000858.SZ,五粮液,食品饮料,MA5/MA15,5,15,全样本,1823,0.9017385174051273,0.0929191682550865,0.2906387194693535,0.4496484452770533,-0.5826808683007825,2.1145393068470053,-1.212800789441878,72,72,0.46407021393307735,0.14400000000000002
000858.SZ,五粮液,食品饮料,MA5/MA15,5,15,样本内,1214,1.7982626211827948,0.2381245312680489,0.3273921694624307,0.8148255002362166,-0.44632971611961747,4.381234150464928,-2.582971529282133,48,48,0.5041186161449753,0.096
000858.SZ,五粮液,食品饮料,MA5/MA15,5,15,样本外,609,-0.3203859769955112,-0.1477023135553922,0.19711194158415338,-0.7132263145794795,-0.343835599825727,-0.421222117499215,0.10083614050370382,24,24,0.3842364532019704,0.048
000858.SZ,五粮液,食品饮料,MA10/MA20,10,20,全样本,1823,1.9932727572917628,0.1636421783482469,0.29785728817357954,0.6571338154917773,-0.47361671532275806,2.1145393068470053,-0.12126654955524252,46,46,0.46626439934174435,0.092
