ts_code,trade_date,date,adj_factor,vol,amount,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-12-03,2025-12-03,1.0,44919.65,6005556.71,893.9109442060085,912.0171673819742,885.2601931330471,893.4415236051501,891.0474785407725,2.394045064377565,0.26867760944660124
688256.SH,2025-12-04,2025-12-04,1.0,70527.31,9414092.024,886.0045600858369,918.2537553648068,866.75160944206,918.0525751072961,893.4415236051501,24.611051502145983,2.754634842002559
688256.SH,2025-12-05,2025-12-05,1.0,88022.66,11982010.116,898.2698497854077,936.3733905579398,886.5343347639484,908.6641630901287,918.0525751072961,-9.388412017167411,-1.0226442658875123
688256.SH,2025-12-08,2025-12-08,1.0,98744.31,13837959.654,895.2521459227468,966.8723175965664,893.9243562231759,950.777896995708,908.6641630901287,42.11373390557935,4.634686346863464
688256.SH,2025-12-09,2025-12-09,1.0,90594.17,12892588.911,922.0761802575107,977.4476931330471,917.381974248927,962.9828326180257,950.777896995708,12.204935622317635,1.2836789392015842
688256.SH,2025-12-10,2025-12-10,1.0,62966.51,8864636.275,962.9828326180257,973.5045600858369,919.3937768240343,952.843347639485,962.9828326180257,-10.139484978540622,-1.0529247910863353
688256.SH,2025-12-11,2025-12-11,1.0,62072.59,8619204.1,945.5472103004291,950.2414163090128,922.7467811158798,926.7837982832617,952.843347639485,-26.05954935622333,-2.734924835313343
688256.SH,2025-12-12,2025-12-12,1.0,91731.13,12503100.255,926.7837982832617,944.206008583691,891.7650214592273,901.2875536480686,926.7837982832617,-25.49624463519308,-2.7510455709758124
688256.SH,2025-12-15,2025-12-15,1.0,64108.76,8667825.206,882.5174356223175,923.9471566523605,882.5174356223175,893.1732832618026,901.2875536480686,-8.114270386266071,-0.9002976190476165
688256.SH,2025-12-16,2025-12-16,1.0,73946.27,9503366.29,884.589592274678,893.2403433476394,846.7609978540772,854.2918454935623,893.1732832618026,-38.88143776824029,-4.353179668143248
688256.SH,2025-12-17,2025-12-17,1.0,63136.57,8165521.986,851.7368562231759,885.1931330472103,847.3041845493561,882.2424892703862,854.2918454935623,27.95064377682388,3.2717910072845835
688256.SH,2025-12-18,2025-12-18,1.0,38865.62,5022391.299,871.7811158798282,878.3328862660943,858.3825107296137,863.06330472103,882.2424892703862,-19.179184549356137,-2.1739130434782514
688256.SH,2025-12-19,2025-12-19,1.0,43265.54,5527000.531,871.7811158798282,872.4517167381974,847.6394849785407,850.3218884120171,863.06330472103,-12.741416309012948,-1.4763014763014848
688256.SH,2025-12-22,2025-12-22,1.0,64766.94,8285582.166,855.0228004291845,870.2052038626609,843.6158798283261,861.5678648068669,850.3218884120171,11.245976394849777,1.3225552050473177
688256.SH,2025-12-23,2025-12-23,1.0,91435.03,12143932.52,857.1620171673819,905.3111587982833,855.0831545064376,895.9361587982831,861.5678648068669,34.368293991416294,3.9890408399947055
688256.SH,2025-12-24,2025-12-24,1.0,59286.62,7830827.375,895.2521459227468,901.9581545064377,872.4450107296137,889.3508583690987,895.9361587982831,-6.585300429184485,-0.7350189368422558
688256.SH,2025-12-25,2025-12-25,1.0,40510.27,5343991.086,881.8401287553647,894.574839055794,878.4871244635193,884.7974785407725,889.3508583690987,-4.553379828326115,-0.511989141909207
688256.SH,2025-12-26,2025-12-26,1.0,47847.97,6276085.535,873.1223175965665,894.682135193133,865.1421673819741,874.3897532188842,884.7974785407725,-10.407725321888393,-1.1762833387650518
688256.SH,2025-12-29,2025-12-29,1.0,98352.62,13413872.87,878.4670064377682,937.5,877.145922746781,911.0112660944205,874.3897532188842,36.62151287553638,4.18823673776161
688256.SH,2025-12-30,2025-12-30,1.0,91353.67,12869406.686,911.2660944206009,964.994635193133,911.2660944206009,949.4366952789699,911.0112660944205,38.42542918454933,4.2178873757821105
688256.SH,2025-12-31,2025-12-31,1.0,70267.42,9747441.408,956.2768240343347,960.3004291845493,904.0772532188842,909.0329935622317,949.4366952789699,-40.40370171673817,-4.255544568441868
688256.SH,2026-01-05,2026-01-05,1.0,65515.02,9038942.469,922.0761802575107,941.1748927038626,903.1518240343347,932.1351931330472,909.0329935622317,23.102199570815515,2.541403858212541
688256.SH,2026-01-06,2026-01-06,1.0,69600.13,9668802.273,925.4291845493561,958.9592274678112,914.0692060085836,927.5080472103003,932.1351931330472,-4.627145922746877,-0.496402877697852
688256.SH,2026-01-07,2026-01-07,1.0,68366.43,9416481.263,918.7231759656652,938.7942596566523,909.9248927038627,935.4077253218884,927.5080472103003,7.899678111588059,0.8517099269756427
688256.SH,2026-01-08,2026-01-08,1.0,149220.62,21582860.951,944.87660944206,996.5128755364806,939.5118025751073,968.3476394849785,935.4077253218884,32.939914163090066,3.521449873824265
688256.SH,2026-01-09,2026-01-09,1.0,102204.98,14899518.827,952.2465128755364,1013.9484978540772,932.8057939914163,999.8658798283261,968.3476394849785,31.518240343347657,3.254847645429365
688256.SH,2026-01-12,2026-01-12,1.0,94844.44,14379497.916,1028.99678111588,1039.431330472103,981.0890557939914,1012.6005901287554,999.8658798283261,12.734710300429242,1.2736418511066459
688256.SH,2026-01-13,2026-01-13,1.0,100029.88,14468557.793,995.8422746781115,1019.31330472103,938.8344957081545,944.2663626609441,1012.6005901287554,-68.33422746781127,-6.748389062179232
688256.SH,2026-01-14,2026-01-14,1.0,89478.25,12769174.184,952.2532188841201,972.3578326180257,930.8543454935622,965.0751072961372,944.2663626609441,20.80874463519308,2.2036943661271597
688256.SH,2026-01-15,2026-01-15,1.0,57838.7,8160415.979,952.9238197424892,968.3476394849785,933.7781652360514,948.9002145922747,965.0751072961372,-16.174892703862497,-1.6760242370337262
688256.SH,2026-01-16,2026-01-16,1.0,72255.59,10308466.086,952.2532188841201,969.0182403433475,944.226126609442,954.969152360515,948.9002145922747,6.068937768240289,0.6395759717314431
688256.SH,2026-01-19,2026-01-19,1.0,69119.05,9918274.016,953.5944206008584,978.1249999999999,944.206008583691,952.0252145922747,954.969152360515,-2.943937768240289,-0.30827569256696885
688256.SH,2026-01-20,2026-01-20,1.0,87374.01,11952219.696,950.2414163090128,955.6062231759656,892.5831545064377,900.6437768240343,952.0252145922747,-51.3814377682404,-5.3970669033430605
688256.SH,2026-01-21,2026-01-21,1.0,75750.12,10345072.403,895.4868562231759,930.7939914163089,895.1984978540772,907.9063841201715,900.6437768240343,7.262607296137276,0.8063795568262975
688256.SH,2026-01-22,2026-01-22,1.0,59350.32,8030782.537,901.2875536480686,917.381974248927,893.9109442060085,907.3229613733905,907.9063841201715,-0.5834227467810251,-0.06426023177999844
688256.SH,2026-01-23,2026-01-23,1.0,63511.27,8480917.29,896.5933476394849,907.3229613733905,885.1931330472103,895.2454399141631,907.3229613733905,-12.077521459227455,-1.3311160384331102
688256.SH,2026-01-26,2026-01-26,1.0,67870.46,8871288.504,888.5461373390557,891.8454935622318,869.0987124463519,871.7811158798282,895.2454399141631,-23.464324034334822,-2.620993415681023
688256.SH,2026-01-27,2026-01-27,1.0,63383.8,8235075.32,871.7811158798282,883.7714592274679,856.0555257510729,872.3779506437769,871.7811158798282,0.5968347639486637,0.0684615384615575
688256.SH,2026-01-28,2026-01-28,1.0,69812.86,9013149.13,878.4066523605151,878.4871244635193,857.6984978540772,860.2333690987124,872.3779506437769,-12.144581545064511,-1.392123853669426
688256.SH,2026-01-29,2026-01-29,1.0,71581.57,9051850.983,859.7907725321887,866.4967811158797,838.257778969957,839.5989806866952,860.2333690987124,-20.634388412017188,-2.3986965808634397
688256.SH,2026-01-30,2026-01-30,1.0,63495.43,8018391.889,839.5922746781115,856.9407188841201,831.6121244635192,844.2127145922747,839.5989806866952,4.6137339055794655,0.549516377664723
688256.SH,2026-02-02,2026-02-02,1.0,66690.29,8357731.143,837.5804721030042,854.077253218884,826.8508583690987,832.8862660944205,844.2127145922747,-11.32644849785413,-1.3416581273979522
688256.SH,2026-02-03,2026-02-03,1.0,226144.55,25622515.727,841.6040772532189,843.4683476394849,712.8487124463519,756.4377682403433,832.8862660944205,-76.44849785407723,-9.178743961352655
688256.SH,2026-02-04,2026-02-04,1.0,117351.29,12657885.6,737.6609442060086,743.4281115879827,713.49919527897,716.2017167381974,756.4377682403433,-40.23605150214587,-5.319148936170206
688256.SH,2026-02-05,2026-02-05,1.0,79421.15,8357564.076,704.1376072961373,719.5413090128756,695.4399141630901,709.7170064377682,716.2017167381974,-6.484710300429242,-0.9054307116104949
