ts_code,trade_date,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-12-02,2025-12-02,1370.0,1377.0,1322.44,1328.73,1362.44,-33.71,-2.4742,46406.31,6242939.888,1.0,918.7231759656652,923.4173819742489,886.8293991416309,891.0474785407725,913.6534334763949,-22.60595493562232,-2.4742373976101706
688256.SH,2025-12-03,2025-12-03,1333.0,1360.0,1320.1,1332.3,1328.73,3.57,0.2687,44919.65,6005556.71,1.0,893.9109442060085,912.0171673819742,885.2601931330471,893.4415236051501,891.0474785407725,2.394045064377565,0.26867760944660124
688256.SH,2025-12-04,2025-12-04,1321.21,1369.3,1292.5,1369.0,1332.3,36.7,2.7546,70527.31,9414092.024,1.0,886.0045600858369,918.2537553648068,866.75160944206,918.0525751072961,893.4415236051501,24.611051502145983,2.754634842002559
688256.SH,2025-12-05,2025-12-05,1339.5,1396.32,1322.0,1355.0,1369.0,-14.0,-1.0226,88022.66,11982010.116,1.0,898.2698497854077,936.3733905579398,886.5343347639484,908.6641630901287,918.0525751072961,-9.388412017167411,-1.0226442658875123
688256.SH,2025-12-08,2025-12-08,1335.0,1441.8,1333.02,1417.8,1355.0,62.8,4.6347,98744.31,13837959.654,1.0,895.2521459227468,966.8723175965664,893.9243562231759,950.777896995708,908.6641630901287,42.11373390557935,4.634686346863464
688256.SH,2025-12-09,2025-12-09,1375.0,1457.57,1368.0,1436.0,1417.8,18.2,1.2837,90594.17,12892588.911,1.0,922.0761802575107,977.4476931330471,917.381974248927,962.9828326180257,950.777896995708,12.204935622317635,1.2836789392015842
688256.SH,2025-12-10,2025-12-10,1436.0,1451.69,1371.0,1420.88,1436.0,-15.12,-1.0529,62966.51,8864636.275,1.0,962.9828326180257,973.5045600858369,919.3937768240343,952.843347639485,962.9828326180257,-10.139484978540622,-1.0529247910863353
688256.SH,2025-12-11,2025-12-11,1410.0,1417.0,1376.0,1382.02,1420.88,-38.86,-2.7349,62072.59,8619204.1,1.0,945.5472103004291,950.2414163090128,922.7467811158798,926.7837982832617,952.843347639485,-26.05954935622333,-2.734924835313343
688256.SH,2025-12-12,2025-12-12,1382.02,1408.0,1329.8,1344.0,1382.02,-38.02,-2.751,91731.13,12503100.255,1.0,926.7837982832617,944.206008583691,891.7650214592273,901.2875536480686,926.7837982832617,-25.49624463519308,-2.7510455709758124
688256.SH,2025-12-15,2025-12-15,1316.01,1377.79,1316.01,1331.9,1344.0,-12.1,-0.9003,64108.76,8667825.206,1.0,882.5174356223175,923.9471566523605,882.5174356223175,893.1732832618026,901.2875536480686,-8.114270386266071,-0.9002976190476165
