parameter,momentum_window,trend_window,top_n,stop_loss,development_cumulative_return,development_annualized_return,development_annualized_volatility,development_sharpe_ratio,development_max_drawdown,development_excess_return,development_annual_turnover,development_average_exposure,development_trade_orders,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_excess_return,validation_annual_turnover,validation_average_exposure,validation_trade_orders,paper_cumulative_return,paper_annualized_return,paper_annualized_volatility,paper_sharpe_ratio,paper_max_drawdown,paper_excess_return,paper_annual_turnover,paper_average_exposure,paper_trade_orders,shortlisted,selected
M120/T60/N2/S16,120,60,2,0.16,0.5960664159694022,0.12914933543842544,0.28171104054804164,0.5708589495855748,-0.5656019091726115,-0.36959125958618944,9.297246867495547,0.5139169273469442,115,0.11219930386035304,0.056807574744274225,0.23929139202041144,0.3494869672940782,-0.31255182660115965,-0.5459815093214877,10.199193221090304,0.6418345959757764,66,-0.23636151208384004,-0.4219068738152083,0.2584654637087873,-1.9882542278046216,-0.27981293108870875,-0.3122589116260923,15.762504466284742,0.6088515714452535,25,False,False
M20/T60/N2/S12,20,60,2,0.12,0.6849172440804379,0.14515351976310686,0.25349359468040256,0.6602768576334307,-0.23129031670235345,-0.2807404314751538,11.911867568422059,0.4351841039681689,125,0.10741617424430228,0.05444365018488839,0.2343460600000088,0.34287061190403,-0.2662178425160141,-0.5507646389375385,15.551123325363795,0.6143894989488562,82,0.18516299007424308,0.41232972623546216,0.30793057888359227,1.2738056963960995,-0.14900689468906714,0.10926559053199081,19.258570918288374,0.5883389778512746,25,True,False
M20/T60/N4/S12,20,60,4,0.12,0.6841915953450544,0.1450253724153847,0.2191966712892894,0.7271993901047045,-0.2177735302379803,-0.2814660802105373,12.172784989434557,0.47884086819933186,217,0.0987059509590833,0.050126237731646706,0.20307677380432035,0.34220393843025004,-0.21027926603452074,-0.5594748622227574,14.8865015898349,0.6832509210996046,130,-0.04318151415048099,-0.08580106016066968,0.2181909611359577,-0.30166472390476623,-0.12834185896394712,-0.11907891369273327,16.13726410450019,0.5581691768763415,31,True,False
M120/T200/N2/S8,120,200,2,0.08,-0.1480151633552501,-0.04076143889811212,0.20716815213685383,-0.09845229327598967,-0.6374452846554188,-1.113672838910842,14.321507191568688,0.27735677587448127,147,0.09753747662920342,0.04954580886993609,0.20878614294497316,0.33495777985890846,-0.19285669162881225,-0.5606433365526373,12.644044905120333,0.4602383117836111,71,-0.12512475270858825,-0.23788667845247424,0.20136729484425717,-1.2470359849708204,-0.1394748942447982,-0.20102215225084052,18.23706351161911,0.34131667211602085,25,False,False
M60/T200/N4/S16,60,200,4,0.16,0.16959842071663234,0.041538991039091755,0.251226995290996,0.2877317612978888,-0.5290007646347081,-0.7960592548389593,10.801280882532401,0.5948542335680405,204,0.0758246131290925,0.03870561245983151,0.20266793409264053,0.28902392589549386,-0.2565309647112586,-0.5823562000527482,11.28361907344372,0.7323331288685527,121,-0.26515380460793325,-0.4653412774064932,0.22219342641548379,-2.703116972648548,-0.3038128368244226,-0.3410512041501855,16.1813845805753,0.6236185463151321,34,True,False
M120/T60/N4/S16,120,60,4,0.16,0.10721530502350873,0.02681267479648941,0.24133126254168347,0.23019326024012032,-0.4467555234672562,-0.8584423705320829,9.682231434259949,0.5465800359470541,182,0.07487047471319652,0.03822685700241446,0.20067337517071696,0.2867375917668427,-0.19779130066734463,-0.5833103384686442,9.851001113278087,0.7160488768423938,113,-0.12049812335835375,-0.22967369722627995,0.2673327084524441,-0.8420150918428928,-0.20697993803911274,-0.19639552290060602,18.43259947337873,0.6200199732392728,34,True,False
M60/T60/N4/S16,60,60,4,0.16,0.2492645413852399,0.05952258514867892,0.24666442613841422,0.357706027848645,-0.4208492858223635,-0.7163931341703518,10.951694415793991,0.5816915697586992,208,0.061204102614537126,0.031346976690979966,0.20579182714397423,0.253038610458988,-0.2484182604924704,-0.5969767105673036,11.13017971148222,0.7374572168316667,117,-0.26121267094227874,-0.45949767298918776,0.2283709134031223,-2.5763309129057164,-0.30422638764110366,-0.337110070484531,17.301717630313682,0.6720589222700037,34,True,False
M60/T120/N4/S16,60,120,4,0.16,0.19248511286590708,0.04679588719451111,0.2525502416747977,0.30749279432001925,-0.5087726384827314,-0.7731725626896846,11.311532812567952,0.6109682889120337,217,0.060577492277481104,0.03103051302958959,0.2005527070947938,0.25291637249341964,-0.2548953845413662,-0.5976033209043596,11.242041174340171,0.7335216274069368,128,-0.2732091799448654,-0.4771848030922622,0.2270705930232222,-2.738314466720733,-0.31024630714397206,-0.34910657948711765,17.390924275932495,0.6195019422489156,35,True,False
M60/T200/N3/S16,60,200,3,0.16,0.929718848044006,0.18623186304980566,0.28000100156440133,0.7493638198769972,-0.4685791100513881,-0.035938827511585725,10.578708783086482,0.5925753014214783,162,0.06051623668136896,0.03099957164740763,0.21461361565825085,0.2500973363402601,-0.22734868625388094,-0.5976645765004718,11.33465358504168,0.745160654137116,96,-0.2842405880231791,-0.4931853013778251,0.245406788903413,-2.642361245606929,-0.3212516585737777,-0.36013798756543136,15.915221126151966,0.6580008949267018,32,True,False
M120/T200/N4/S12,120,200,4,0.12,-0.12139904151968595,-0.03306468018852038,0.22095379525294084,-0.04195221089559029,-0.5437902790214129,-1.0870567170752776,12.071944973897605,0.4750236098642188,226,0.0541271377678918,0.027767585622700874,0.1845760464156942,0.23995728442542957,-0.19723286844718002,-0.6040536754139489,11.175920851342815,0.6310088634680735,123,0.0013849324380614814,0.0028165519900902325,0.21894944120165546,0.12143759539107751,-0.16204893051506408,-0.0745124671041908,15.16903125262442,0.5946146390810155,37,False,False
M60/T60/N3/S16,60,60,3,0.16,1.0155931479637554,0.1997257590020638,0.2720033536382343,0.8049662206810695,-0.3502214961027712,0.04993547240816376,10.833198631991,0.5853259849720709,165,0.04934902238575889,0.025344375808219022,0.22618560429883885,0.22393446786666538,-0.2392447667110832,-0.6088317907960819,11.752102524868585,0.7466764046703098,94,-0.27859440575435845,-0.4850273588938351,0.2458531528973363,-2.5724280214231063,-0.3198034319433176,-0.35449180529661073,16.73044015944016,0.662811864616989,32,True,False
