trade_date,portfolio_value,strategy_return,strategy_nav,benchmark_return,benchmark_nav,exposure,cash_ratio,turnover,transaction_cost,holding_count
2019-12-19,1115232.9744401802,-0.029273603349732058,1.1152329744401803,-0.012219258608422424,2.3260104900614995,0.9062822057493007,0.09371779425069929,0.0,0.0,3
2019-12-20,1093586.5744401803,-0.01940975607438966,1.0935865744401803,-0.007234121964105822,2.3091838464866052,0.9044271602422663,0.09557283975773362,0.0,0.0,3
2019-12-23,1067099.5744401803,-0.024220304655403257,1.0670995744401803,-0.009568303712108506,2.2870888741163267,0.902054900082767,0.09794509991723291,0.0,0.0,3
2019-12-24,1106706.41735618,0.03711635152396919,1.10670641735618,0.03034855515923206,2.3564987169665117,0.28105014583998345,0.7189498541600167,0.648208116250894,553.362084,1
2019-12-25,1135686.41735618,0.026185806412174495,1.13568641735618,0.028174128742190552,2.422891015199133,0.2993960258779437,0.7006039741220564,0.0,0.0,1
2019-12-26,1134786.41735618,-0.0007924722760136449,1.1347864173561801,-0.0003102530610929799,2.4221393058449725,0.29884037631511323,0.7011596236848868,0.0,0.0,1
2019-12-27,1130196.41735618,-0.004044814010634501,1.13019641735618,-0.0025252360856065303,2.416022832265487,0.295992798121367,0.7040072018786331,0.0,0.0,1
2019-12-30,1159176.41735618,0.02564156066588108,1.15917641735618,0.0205185214436306,2.4655960485576274,0.3135933362318432,0.6864066637681568,0.0,0.0,1
2019-12-31,1141176.41735618,-0.015528266215986242,1.14117641735618,-0.00583213830832251,2.4512163513899856,0.3027665089684031,0.697233491031597,0.0,0.0,1
2020-01-02,1182531.2971200903,0.03623881385467054,1.1825312971200903,0.02865485702414562,2.5214556054743134,0.8960976361307986,0.10390236386920135,0.7728935569343356,316.98393608999993,3
2020-01-03,1189242.6971200902,0.005675452325316632,1.1892426971200902,-0.0028884681990942853,2.514172461142473,0.8966840011566763,0.1033159988433236,0.0,0.0,3
2020-01-06,1188934.6971200902,-0.00025898834674020765,1.1889346971200903,-0.011102878875518241,2.4862579088342445,0.896657236585232,0.10334276341476796,0.0,0.0,3
2020-01-07,1176428.0971200904,-0.010519164787009871,1.1764280971200904,0.0003125464719437976,2.487034979971993,0.8955586002911082,0.10444139970889176,0.0,0.0,3
2020-01-08,1144138.9971200903,-0.027446726305708102,1.1441389971200904,-0.01942556421406618,2.438722922265918,0.8926111272936588,0.10738887270634122,0.0,0.0,3
2020-01-09,1179836.0971200904,0.031199967914609328,1.1798360971200903,0.02154837769333482,2.491273444884297,0.8958602831189829,0.10413971688101699,0.0,0.0,3
2020-01-10,1186168.9971200905,0.005367609971807408,1.1861689971200906,0.006609727379906805,2.5077400831837835,0.8964162801266918,0.10358371987330812,0.0,0.0,3
2020-01-13,1247802.9971200903,0.051960555493898,1.2478029971200904,0.03851580084467595,2.604327700797901,0.9015326959434564,0.09846730405654357,0.0,0.0,3
2020-01-14,1268143.8971200904,0.01630137132780307,1.2681438971200905,0.0005175467252760413,2.605675562070995,0.903112101553208,0.09688789844679194,0.0,0.0,3
2020-01-15,1290475.5971200904,0.017609752371725573,1.2904755971200903,0.0016022095298420691,2.6098504002882215,0.9047887481217853,0.09521125187821458,0.0,0.0,3
2020-01-16,1313533.7971200903,0.0178679860754114,1.3135337971200904,0.004165529476139407,2.620721809058936,0.9064601174408479,0.09353988255915203,0.0,0.0,3
2020-01-17,1300614.7971200903,-0.009835300795704494,1.3006147971200903,0.004211177382877118,2.6317581334680575,0.9055309862749888,0.09446901372501106,0.0,0.0,3
2020-01-20,1371875.4971200903,0.05479001173736475,1.3718754971200904,0.026000403992257358,2.7001849081481364,0.910438084667289,0.08956191533271096,0.0,0.0,3
2020-01-21,1357522.4971200903,-0.010462319671231457,1.3575224971200903,-0.031203465879772296,2.61592978049766,0.9094911521681979,0.09050884783180212,0.0,0.0,3
2020-01-22,1468998.7971200903,0.08211746047412904,1.4689987971200904,0.038929862746472386,2.7177675678068436,0.916359497801518,0.08364050219848197,0.0,0.0,3
2020-01-23,1429218.9971200903,-0.02707953204453717,1.4292189971200904,-0.03500979509503699,2.622619082141989,0.9140315113585309,0.08596848864146905,0.0,0.0,3
2020-02-03,1345902.9864495904,-0.05829478256193321,1.3459029864495904,-0.08729650324821131,2.3936736069189597,0.8988007398594983,0.1011992601405018,0.6751711009610366,534.6284705,3
2020-02-04,1428120.6955485505,0.06108739628837978,1.4281206955485504,0.0530202508613544,2.520586782038006,0.6278741025145493,0.3721258974854507,0.29389395467755364,316.44220104,2
2020-02-05,1528758.6955485505,0.07046883384134728,1.5287586955485504,0.0349930361313162,2.60878976637398,0.652371105331402,0.3476288946685981,0.0,0.0,2
2020-02-06,1551214.6955485505,0.014689041550761006,1.5512146955485504,0.029371077737754003,2.6854127334036075,0.6574035192719606,0.3425964807280394,0.0,0.0,2
2020-02-07,1486252.6955485505,-0.04187814890254615,1.4862526955485504,-0.001424618608100192,2.6815870444531718,0.6424291123977375,0.3575708876022625,0.0,0.0,2
2020-02-10,1535458.6955485505,0.03310742523621735,1.5354586955485505,0.012605825679831217,2.715390663280842,0.6538879898956249,0.3461120101043751,0.0,0.0,2
2020-02-11,1490776.6955485505,-0.029100098966867494,1.4907766955485504,0.004850571619194799,2.728561860167179,0.6435142183699082,0.3564857816300918,0.0,0.0,2
2020-02-12,1497026.6955485505,0.004192445467293915,1.4970266955485505,0.005950092637052784,2.7447970560011026,0.6450025259210115,0.3549974740789886,0.0,0.0,2
2020-02-13,1468124.6955485505,-0.019306268943593885,1.4681246955485505,-0.004249781015139531,2.7331322695820983,0.6380139254111635,0.36198607458883647,0.0,0.0,2
