trade_date,symbol,side,quantity,execution_price,gross_value,fee,reason,realized_return,holding_days
2022-09-26,002371.SZ,sell,2100,205.577217,431712.1557,345.36972456,trailing_stop,-0.026407313771302787,25
2022-10-10,600519.SH,sell,400,1687.04127,674816.508,539.8532064,rebalance_exit,-0.015214124340556023,39
2022-12-01,000425.SZ,buy,162500,4.580575999999999,744343.5999999999,223.30307999999994,rebalance_entry,,0
2022-12-01,600036.SH,buy,13800,28.198169999999998,389134.746,116.74042379999999,rebalance_entry,,0
2022-12-01,000001.SZ,buy,49200,10.977719428781077,540103.795896029,162.0311387688087,rebalance_entry,,0
2023-01-03,000001.SZ,sell,2900,10.80839866885359,31344.356139675412,25.07548491174033,rebalance_reduce,-0.01571932204894788,33
2023-01-03,000425.SZ,buy,5600,4.3603559999999995,24417.993599999998,7.3253980799999985,rebalance_add,,0
2023-01-03,600036.SH,buy,300,29.37935,8813.805,5.0,rebalance_add,,0
2023-02-01,000001.SZ,sell,46300,12.306835757035564,569806.4955507467,455.8451964405973,rebalance_exit,0.12073777193972068,62
2023-02-01,000425.SZ,sell,168100,5.1108839999999995,859139.6003999999,687.3116803199999,rebalance_exit,0.11722794552890403,62
2023-02-01,600036.SH,buy,7300,33.943909999999995,247790.54299999998,74.33716289999998,rebalance_add,,0
2023-02-01,000858.SZ,buy,2400,191.92172999999997,460612.15199999994,138.18364559999998,rebalance_entry,,0
2023-02-01,600519.SH,buy,400,1677.2956199999996,670918.2479999999,201.27547439999995,rebalance_entry,,0
2023-02-07,600036.SH,sell,21400,30.73923,657819.522,526.2556176,trailing_stop,0.018398673637954666,68
2023-03-01,000425.SZ,buy,56200,6.4023959999999995,359814.6552,107.94439655999999,rebalance_entry,,0
2023-03-01,000858.SZ,buy,900,187.58739999999997,168828.65999999997,50.648597999999986,rebalance_add,,0
2023-03-20,000858.SZ,sell,3300,173.05677,571087.341,456.8698728,trailing_stop,-0.09297895005234258,47
2023-03-23,000425.SZ,sell,56200,5.950044,334392.4728,267.51397824,trailing_stop,-0.07093226939674502,22
2023-04-03,600519.SH,sell,400,1643.9943600000001,657597.7440000001,526.0781952,rebalance_exit,-0.020148094343012568,61
2023-04-03,000425.SZ,buy,109000,6.202195999999999,676039.3639999998,202.81180919999994,rebalance_entry,,0
2023-04-03,600584.SH,buy,18800,32.04201,602389.788,180.71693639999998,rebalance_entry,,0
2023-04-03,002371.SZ,buy,2200,197.81761999999998,435198.76399999997,130.5596292,rebalance_entry,,0
2023-04-24,600584.SH,sell,18800,31.848119999999998,598744.656,478.99572479999995,trailing_stop,-0.006349213751847715,21
2023-05-04,002371.SZ,buy,1000,245.77653099999998,245776.531,73.73295929999999,rebalance_add,,0
2023-05-04,000425.SZ,buy,24800,5.971965999999999,148104.75679999997,44.43142703999999,rebalance_add,,0
2023-05-05,000425.SZ,sell,133800,5.630364,753342.7032,602.67416256,trailing_stop,-0.08618316971248197,32
2023-05-09,002371.SZ,sell,3200,220.458321,705466.6272,564.37330176,trailing_stop,0.03565438550130451,36
2023-06-01,002371.SZ,buy,3400,219.97975999999997,747931.1839999999,224.37935519999994,rebalance_entry,,0
2023-06-01,600584.SH,buy,24600,30.40037,747849.102,224.35473059999995,rebalance_entry,,0
2023-07-03,002371.SZ,sell,200,236.55320999999998,47310.64199999999,37.84851359999999,rebalance_reduce,0.0750182895026521,32
2023-07-03,600584.SH,sell,24600,30.77919,757168.074,605.7344592,rebalance_exit,0.012157385331043935,32
2023-07-03,300750.SZ,buy,3600,213.46325,768467.7,230.54030999999998,rebalance_entry,,0
2023-07-10,002371.SZ,sell,3200,207.715077,664688.2464000001,531.7505971200001,trailing_stop,-0.05603687736703433,39
2023-08-01,300750.SZ,sell,3600,218.48129999999998,786532.6799999999,629.226144,rebalance_exit,0.02320083324609623,29
2023-08-01,600584.SH,buy,15500,32.59256,505184.68,151.55540399999998,rebalance_entry,,0
2023-08-01,000425.SZ,buy,94500,6.492485999999999,613539.9269999999,184.06197809999995,rebalance_entry,,0
2023-08-01,600036.SH,buy,18700,29.569539999999996,552950.3979999999,165.88511939999995,rebalance_entry,,0
2023-08-17,600036.SH,sell,18700,25.76421,481790.72699999996,385.43258159999993,trailing_stop,-0.1289521901563745,16
2023-08-21,600584.SH,sell,15500,30.02994,465464.07,372.371256,trailing_stop,-0.07890224886035224,20
2023-08-21,000425.SZ,sell,94500,5.690303999999999,537733.7279999999,430.1869823999999,trailing_stop,-0.12381829998959282,20
2023-09-01,600519.SH,buy,300,1701.07938,510323.81399999995,153.09714419999997,rebalance_entry,,0
2023-09-01,600584.SH,buy,10200,32.382349999999995,330299.97,99.08999099999998,rebalance_entry,,0
2023-09-01,300750.SZ,buy,2300,218.1179,501671.17,150.50135099999997,rebalance_entry,,0
2023-09-18,300750.SZ,sell,2300,187.11270000000002,430359.21,344.287368,trailing_stop,-0.14240608851867498,17
2023-09-19,600584.SH,sell,10200,29.63034,302229.468,241.7835744,trailing_stop,-0.08525929823095524,18
2023-10-09,600036.SH,buy,23200,26.73671,620291.672,186.0875016,rebalance_entry,,0
2023-10-20,600519.SH,sell,300,1475.0734499999999,442522.035,354.01762799999995,trailing_stop,-0.13312037167730795,49
2023-11-01,600036.SH,sell,23200,24.78519,575016.408,460.01312640000003,rebalance_exit,-0.07326830141037932,23
2024-03-01,002371.SZ,buy,1600,209.936727,335898.7632,100.76962895999999,rebalance_entry,,0
2024-03-01,600036.SH,buy,21300,25.95593,552861.309,165.8583927,rebalance_entry,,0
2024-03-01,000001.SZ,buy,47300,8.900398974663327,420988.87150157534,126.2966614504726,rebalance_entry,,0
2024-04-01,000001.SZ,sell,47300,8.823901784357734,417370.5544001208,333.8964435200966,rebalance_exit,-0.008892136987702526,31
