trade_date,symbol,shares,close,market_value,weight
2025-07-03,000001.SZ,37000,11.708529940722835,433215.6078067449,0.3211909693002163
2025-07-03,600036.SH,10200,42.59,434418.00000000006,0.3220824365213209
2025-07-03,002371.SZ,1000,327.408,327408.0,0.2427440077910506
2025-07-04,000001.SZ,37000,11.945544716850828,441985.1545234806,0.3228005760587869
2025-07-04,600036.SH,10200,43.05,439110.0,0.320700728299334
2025-07-04,002371.SZ,1000,334.388,334388.0,0.24421779311461297
2025-07-07,000001.SZ,37000,12.116195355662985,448299.22815953044,0.3261803802417607
2025-07-07,600036.SH,10200,43.18,440436.0,0.32045913293662226
2025-07-07,002371.SZ,1000,331.918,331918.0,0.2415019537141782
2025-07-08,000001.SZ,37000,12.030870036256903,445142.19134150544,0.3233147633813996
2025-07-08,600036.SH,10200,43.6,444720.0,0.3230081182321965
2025-07-08,002371.SZ,1000,333.208,333208.0,0.24201495111511453
2025-07-09,000001.SZ,37000,12.1730789019337,450403.9193715469,0.3277449638930987
2025-07-09,600036.SH,10200,43.11,439722.0,0.3199720624413939
2025-07-09,002371.SZ,1000,330.388,330388.0,0.24041310138198055
2025-07-10,000001.SZ,37000,12.495418997467771,462330.5029063075,0.3311396560910331
2025-07-10,600036.SH,10200,44.22,451044.0,0.32305580986550614
2025-07-10,002371.SZ,1000,329.068,329068.0,0.23569170466921713
2025-07-11,000001.SZ,37000,12.239443039249538,452859.39245223295,0.3277816269250996
2025-07-11,600036.SH,10200,43.62,444924.0,0.3220379548457876
2025-07-11,002371.SZ,1000,330.068,330068.0,0.2389046751356174
2025-07-14,000001.SZ,37000,12.30580717656538,455314.86553291907,0.33073154280132294
2025-07-14,600036.SH,10200,43.55,444210.0,0.3226651922638661
2025-07-14,002371.SZ,1000,323.428,323428.0,0.2349315814671387
2025-07-15,000001.SZ,37000,12.068792400437385,446545.31881618325,0.3275039700289939
2025-07-15,600036.SH,10200,43.2,440640.0,0.3231729082641676
2025-07-15,002371.SZ,1000,322.558,322558.0,0.23656955098010482
2025-07-16,000001.SZ,37000,11.983467081031309,443388.28199815843,0.3268037810527474
2025-07-16,600036.SH,10200,43.09,439518.00000000006,0.32395115088165094
2025-07-16,002371.SZ,1000,320.098,320098.0,0.23593144193164944
2025-07-17,000001.SZ,37000,11.936064125805707,441634.3726548112,0.326747940246663
2025-07-17,600036.SH,10200,42.98,438395.99999999994,0.3243519954103272
2025-07-17,002371.SZ,1000,317.838,317838.0,0.23515586254716647
2025-07-18,000001.SZ,37000,12.040350627302026,445492.97321017494,0.3269518942174578
2025-07-18,600036.SH,10200,43.03,438906.0,0.3221176465463721
2025-07-18,002371.SZ,1000,324.428,324428.0,0.23810105998493164
2025-07-21,000001.SZ,37000,11.955025307895946,442335.93639215,0.327116568425072
2025-07-21,600036.SH,10200,42.83,436866.0,0.3230714373948017
2025-07-21,002371.SZ,1000,319.288,319288.0,0.2361200759567269
2025-07-22,000001.SZ,37000,11.841258215354513,438126.553968117,0.3242917591956988
2025-07-22,600036.SH,10200,42.92,437784.0,0.32403820818872603
2025-07-22,002371.SZ,1000,321.378,321378.0,0.23787701531183505
2025-07-23,000001.SZ,37000,11.87918057953499,439529.6814427946,0.3223244545801889
2025-07-23,600036.SH,10200,43.1,439620.0,0.32239068874119964
2025-07-23,002371.SZ,1000,330.738,330738.0,0.24254322281262655
2025-07-24,000001.SZ,37000,11.708529940722835,433215.6078067449,0.31807011689577125
2025-07-24,600036.SH,10200,42.86,437172.0,0.32097492942956973
2025-07-24,002371.SZ,1000,337.888,337888.0,0.24807987921252608
2025-07-25,000001.SZ,37000,11.708529940722835,433215.6078067449,0.3174175759386593
2025-07-25,600036.SH,10200,42.81,436662.0,0.3199427514771292
2025-07-25,002371.SZ,1000,341.198,341198.0,0.24999616847468645
2025-07-28,000001.SZ,37000,11.812816442219152,437074.2083621086,0.31987666907795753
2025-07-28,600036.SH,10200,42.42,432684.0,0.3166636558171384
2025-07-28,002371.SZ,1000,342.888,342888.0,0.25094564997972413
2025-07-29,000001.SZ,37000,11.699049349677717,432864.8259380755,0.3182234956508612
2025-07-29,600036.SH,10200,42.12,429624.0,0.3158409806091842
2025-07-29,002371.SZ,1000,344.028,344028.0,0.2529145040244875
2025-07-30,000001.SZ,37000,11.841258215354513,438126.553968117,0.3191523472461027
2025-07-30,600036.SH,10200,42.4,432480.0,0.31503912713548715
2025-07-30,002371.SZ,1000,348.438,348438.0,0.2538189127377795
2025-07-31,000001.SZ,37000,11.5947628481814,429006.2253827118,0.3177180136575232
2025-07-31,600036.SH,10200,42.46,433092.0,0.3207439002737351
2025-07-31,002371.SZ,1000,334.438,334438.0,0.24768166698934044
2025-08-01,600584.SH,15400,34.41,529914.0,0.3968364294557944
2025-08-01,600031.SH,16000,19.472,311552.0,0.2333117888370786
2025-08-01,000425.SZ,44000,8.121,357324.0,0.2675890433520577
2025-08-04,600584.SH,15400,34.59,532686.0,0.3983836418993583
2025-08-04,600031.SH,16000,19.382,310112.0,0.2319256521791333
2025-08-04,000425.SZ,44000,8.131,357764.0,0.2675634900494513
2025-08-05,600584.SH,15400,34.61,532994.0,0.3990234209126613
2025-08-05,600031.SH,16000,19.332,309312.0,0.23156495639601402
2025-08-05,000425.SZ,44000,8.111,356884.0,0.2671795077411645
2025-08-06,600584.SH,15400,34.83,536382.0,0.39704525809242636
2025-08-06,600031.SH,16000,19.712,315392.0,0.2334621557775737
2025-08-06,000425.SZ,44000,8.241,362604.0,0.26840982502273786
2025-08-07,600584.SH,15400,35.05,539770.0,0.39436053421392936
2025-08-07,600031.SH,16000,20.062,320992.0,0.2345194742175327
2025-08-07,000425.SZ,44000,8.441,371404.00000000006,0.2713509084409846
2025-08-08,600584.SH,15400,34.47,530838.0,0.38290326460083757
2025-08-08,600031.SH,16000,20.732,331712.0,0.23926999895876527
2025-08-08,000425.SZ,44000,8.801,387244.0,0.2793262573460957
2025-08-11,600584.SH,15400,34.64,533456.0,0.3862018205979282
2025-08-11,600031.SH,16000,20.692,331072.0,0.23968351494593232
2025-08-11,000425.SZ,44000,8.641,380204.0,0.2752532111338417
2025-08-12,600584.SH,15400,34.97,538538.0,0.3897901287744246
2025-08-12,600031.SH,16000,20.532,328512.0,0.23777474344232677
2025-08-12,000425.SZ,44000,8.591,378003.99999999994,0.2735967152498943
2025-08-13,600584.SH,15400,35.44,545776.0,0.3917742019956313
2025-08-13,600031.SH,16000,20.522,328352.0,0.23570080541040558
2025-08-13,000425.SZ,44000,8.691,382404.00000000006,0.274500934339248
2025-08-14,600584.SH,15400,35.15,541310.0,0.39173637379889065
2025-08-14,600031.SH,16000,20.592,329472.0,0.23843299874058876
2025-08-14,000425.SZ,44000,8.511,374483.99999999994,0.2710073787768631
2025-08-15,600584.SH,15400,35.73,550242.0,0.39431598994809897
2025-08-15,600031.SH,16000,20.692,331072.0,0.23725376002576506
2025-08-15,000425.SZ,44000,8.581,377564.0,0.2705709895441715
2025-08-18,600584.SH,15400,36.77,566258.0,0.4039477087694402
2025-08-18,600031.SH,16000,20.392,326272.0,0.2327504897690148
2025-08-18,000425.SZ,44000,8.471,372724.0,0.26588764450724023
2025-08-19,600584.SH,15400,36.2,557480.0,0.40407872360880304
2025-08-19,600031.SH,16000,19.912,318592.0,0.23092532236488444
2025-08-19,000425.SZ,44000,8.341,367003.99999999994,0.26601583532920486
2025-08-20,600584.SH,15400,37.57,578578.0,0.40844735864071974
2025-08-20,600031.SH,16000,20.542,328672.0,0.2320261231141914
2025-08-20,000425.SZ,44000,8.471,372724.0,0.2631246492296693
2025-08-21,600584.SH,15400,36.45,561330.0,0.3973505280372369
2025-08-21,600031.SH,16000,20.692,331072.0,0.23435703421934354
2025-08-21,000425.SZ,44000,8.721,383724.0,0.2716279800127567
2025-08-22,600584.SH,15400,38.71,596134.0,0.4102311344057885
2025-08-22,600031.SH,16000,20.992,335872.0,0.23113117449288414
2025-08-22,000425.SZ,44000,8.741,384604.0,0.2646662247363913
2025-08-25,600584.SH,15400,38.87,598598.0,0.4080227507896001
2025-08-25,600031.SH,16000,21.322,341152.0,0.23253966347594487
2025-08-25,000425.SZ,44000,8.881,390764.0,0.26635672386066656
2025-08-26,600584.SH,15400,38.86,598444.0,0.40640912373790444
2025-08-26,600031.SH,16000,21.232,339712.0,0.23070171351580265
2025-08-26,000425.SZ,44000,9.041,397804.0,0.2701525540559072
2025-08-27,600584.SH,15400,38.47,592438.0,0.4056488235755854
