industry,parameter,sample_period,stock_count,median_cumulative_return,median_sharpe_ratio,median_max_drawdown,positive_return_share,median_completed_trades,median_average_exposure
工程机械,E20/X10/ATR20/S1.5,full,2,0.2121273583397847,0.454237418331777,-0.09505921136952411,1.0,32.5,0.08292686219339612
工程机械,E20/X10/ATR20/S1.5,in_sample,2,0.15507648577780375,0.4955946189644289,-0.09505921136952411,1.0,21.0,0.0776046253510484
工程机械,E20/X10/ATR20/S1.5,out_of_sample,2,0.04926730447876093,0.35862646207689364,-0.06820415620558373,1.0,11.5,0.09337710896843854
工程机械,E20/X10/ATR20/S2,full,2,0.17349584135316187,0.4815135189540336,-0.08458843682702882,1.0,30.0,0.06669559056446679
工程机械,E20/X10/ATR20/S2,in_sample,2,0.13487387823187458,0.5527733023847963,-0.08458843682702882,1.0,19.0,0.062095498805204624
工程机械,E20/X10/ATR20/S2,out_of_sample,2,0.03409634302480424,0.3154010216649945,-0.05012252474224621,1.0,11.0,0.07573134113298435
工程机械,E20/X10/ATR20/S3,full,2,0.10110862113611396,0.4201066539285374,-0.06562174155932066,1.0,29.0,0.04683237316197119
工程机械,E20/X10/ATR20/S3,in_sample,2,0.08481718396884574,0.5144944523456761,-0.06562174155932066,1.0,18.0,0.04427202450497986
工程机械,E20/X10/ATR20/S3,out_of_sample,2,0.015150707926269547,0.20187472480973387,-0.04010803034930566,0.5,11.0,0.05186720962799042
工程机械,E40/X20/ATR20/S2,full,2,0.03441186596407014,0.10648870389719517,-0.10227845154372228,0.5,17.5,0.05734448321431075
工程机械,E40/X20/ATR20/S2,in_sample,2,0.0086554626741564,0.03989488554015964,-0.09878542152903474,0.5,11.5,0.04481939649200843
工程机械,E40/X20/ATR20/S2,out_of_sample,2,0.02497351854521046,0.23232682965864526,-0.04563998331274444,1.0,6.0,0.08211206487005134
工程机械,E55/X20/ATR20/S2,full,2,0.02181579954987145,0.08366673333703172,-0.09268684489487827,0.5,15.5,0.047015097816171685
工程机械,E55/X20/ATR20/S2,in_sample,2,0.033008701798060314,0.15410143756023292,-0.08476962381957609,0.5,9.0,0.04129938505181936
工程机械,E55/X20/ATR20/S2,out_of_sample,2,-0.010570163806576716,-0.0920459693446238,-0.0630327307023309,0.0,6.5,0.0582212014625385
新能源汽车,E10/X5/ATR14/S1.5,full,2,0.2730581292242652,0.5528132161194028,-0.10469251834319565,1.0,53.0,0.0641221457357205
新能源汽车,E10/X5/ATR14/S1.5,in_sample,2,0.19402460866072524,0.6475160750148373,-0.0814935440690866,1.0,34.0,0.055691863641231104
新能源汽车,E10/X5/ATR14/S1.5,out_of_sample,2,0.06544299451981117,0.4087893690201729,-0.09728200243354013,1.0,19.0,0.08092733861373387
新能源汽车,E20/X10/ATR20/S1.5,full,2,0.3317415908903557,0.5766891969605191,-0.08794765203458571,1.0,29.0,0.0686536999175154
新能源汽车,E20/X10/ATR20/S1.5,in_sample,2,0.28093144031177175,0.7469306760204455,-0.08484429533282939,1.0,16.5,0.06345960761820085
新能源汽车,E20/X10/ATR20/S1.5,out_of_sample,2,0.039227933302071305,0.19652561724199316,-0.08357045711249278,0.5,12.5,0.07900776896738054
新能源汽车,E20/X10/ATR20/S2,full,2,0.25483060195852847,0.5821813376312559,-0.06743258703500449,1.0,27.0,0.05442075797948885
