ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
300750.SZ,宁德时代,新能源汽车,2021-12-14,344.73,341.21,344.73,337.31,87811,5704000256.0,2.15,-1.18,-4.08,0.43,345.29,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,7.980000000000018,13.672437555881677,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.011816154536766321,1695032.2901142563,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-15,340.33,340.09,346.76,338.96,70480,4606545152.0,2.29,-0.33,-1.12,0.35,341.21,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,7.800000000000011,13.378815678087594,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.0032824360364585026,1689468.4550422244,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-16,344.71,343.46,344.71,339.03,61502,4018260864.0,1.67,0.99,3.37,0.3,340.09,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,5.680000000000007,12.993874894183216,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.009909141697785895,1706209.6373571772,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-17,341.21,341.31,342.87,334.93,136491,8863377920.0,2.31,-0.63,-2.15,0.67,343.46,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,8.529999999999973,12.770681149474054,363.98,319.65,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.006259826471787022,1695529.0611028306,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-20,340.09,318.54,340.09,317.14,155114,9648532992.0,6.72,-6.67,-22.77,0.76,341.31,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,24.170000000000016,13.340647092000353,363.98,319.65,False,True,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.06671354487123138,1582414.3070044701,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-21,316.21,315.13,321.03,309.58,125658,7553655552.0,3.59,-1.07,-3.41,0.62,318.54,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,11.449999999999989,13.246114737400337,363.98,317.14,False,True,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.010705091982168735,1565474.4162940877,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-22,317.76,318.56,322.32,314.54,83618,5103433216.0,2.47,1.09,3.43,0.41,315.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,7.779999999999973,12.972809000530319,363.98,309.58,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.010884396915558758,1582513.661202185,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-23,323.42,325.13,329.98,319.58,79718,4954755072.0,3.26,2.06,6.57,0.39,318.56,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,11.420000000000016,12.895168550503803,363.98,309.58,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.020624058262179723,1615151.5151515142,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-24,326.21,299.98,326.9,292.32,246081,14321299456.0,10.64,-7.74,-25.15,1.21,325.13,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,34.579999999999984,13.979410122978612,363.98,309.58,False,True,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,-0.07735367391504933,1490213.611525086,-0.021348814727317422,20,10,20,2.0,0.01
300750.SZ,宁德时代,新能源汽车,2021-12-27,298.54,300.98,306.2,298.15,101835,5915820032.0,2.68,0.33,1.0,0.5,299.98,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,8.050000000000011,13.682939616829682,363.98,292.32,False,False,HOLD,,,123685.08273268363,0.0,0,0.0,,0.0,0.0,123685.08273268363,0.0,0.003333555570371294,1495181.3214108287,-0.021348814727317422,20,10,20,2.0,0.01
